Date,NewCases,TotalCases,Lockdown,Temperature,RH
30-01-2020,0,0,0,15,42
31-01-2020,0,0,0,16,44
01-02-2020,0,0,0,16,43
02-02-2020,0,0,0,16,41
03-02-2020,0,0,0,17,43
04-02-2020,0,0,0,15,45
05-02-2020,0,0,0,16,48
06-02-2020,0,0,0,16,35
07-02-2020,0,0,0,16,40
08-02-2020,0,0,0,18,37
09-02-2020,0,0,0,17,40
10-02-2020,0,0,0,16,38
11-02-2020,0,0,0,18,36
12-02-2020,0,0,0,20,34
13-02-2020,0,0,0,22,29
14-02-2020,0,0,0,20,30
15-02-2020,0,0,0,21,18
16-02-2020,0,0,0,24,17
17-02-2020,0,0,0,24,22
18-02-2020,0,0,0,23,16
19-02-2020,0,0,0,21,19
20-02-2020,0,0,0,23,28
21-02-2020,0,0,0,20,40
22-02-2020,0,0,0,19,63
23-02-2020,0,0,0,22,53
24-02-2020,0,0,0,21,46
25-02-2020,0,0,0,22,38
26-02-2020,0,0,0,23,30
27-02-2020,0,0,0,25,28
28-02-2020,0,0,0,25,34
29-02-2020,0,0,0,25,43
01-03-2020,0,0,0,23,54
02-03-2020,0,0,0,24,47
03-03-2020,0,0,0,23,40
04-03-2020,0,0,0,23,38
05-03-2020,0,0,0,22,50
06-03-2020,0,0,0,19,51
07-03-2020,0,0,0,20,43
08-03-2020,0,0,0,22,38
09-03-2020,0,0,0,23,31
10-03-2020,1,1,0,20,35
11-03-2020,0,1,0,21,39
12-03-2020,0,1,0,23,23
13-03-2020,0,1,0,22,16
14-03-2020,1,2,0,20,27
15-03-2020,0,2,0,21,35
16-03-2020,0,2,0,23,33
17-03-2020,0,2,0,25,29
18-03-2020,0,2,0,27,25
19-03-2020,2,4,0,28,23
20-03-2020,2,6,0,28,21
21-03-2020,0,6,0,28,28
22-03-2020,0,6,0,28,29
23-03-2020,0,6,0,26,27
24-03-2020,0,6,0,27,35
25-03-2020,0,6,1,27,37
26-03-2020,1,7,1,25,48
27-03-2020,1,8,1,22,65
28-03-2020,0,8,1,25,42
29-03-2020,0,8,1,26,28
30-03-2020,10,18,1,26,26
31-03-2020,1,19,1,27,22
01-04-2020,13,32,1,28,25
02-04-2020,7,39,1,27,22
03-04-2020,14,53,1,28,15
04-04-2020,0,53,1,28,15
05-04-2020,39,92,1,30,16
06-04-2020,8,100,1,30,16
07-04-2020,6,106,1,31,15
08-04-2020,23,129,1,30,18
09-04-2020,39,168,1,29,18
10-04-2020,53,221,1,32,19
11-04-2020,80,301,1,33,18
12-04-2020,40,341,1,32,20
13-04-2020,29,370,1,33,20
14-04-2020,83,453,1,34,15
15-04-2020,30,483,1,34,15
16-04-2020,3,486,1,33,16
17-04-2020,8,494,1,33,17
18-04-2020,25,519,1,31,18
19-04-2020,16,535,1,31,23
20-04-2020,50,585,1,29,30
21-04-2020,72,657,1,29,28
22-04-2020,68,725,1,31,20
23-04-2020,15,740,1,30,25
24-04-2020,36,776,1,31,26
25-04-2020,15,791,1,29,29
26-04-2020,16,807,1,29,32
27-04-2020,25,832,1,30,32
